Time_s,Acc_g_raw,Acc_g_demean,Vel_mm_s
0.0,0.054,0.053988037109375,1.7615726185705938
0.000391,-0.612,-0.612011962890625,0.6912373281490415
0.000781,0.712,0.711988037109375,0.8823605681377746
0.0011719999999999999,-1.187,-1.187011962890625,-0.028792757283777275
0.001563,0.843,0.842988037109375,-0.6887070777053298
0.001953,-1.075,-1.075011962890625,-1.132683237716597
0.0023439999999999997,0.653,0.652988037109375,-1.9421902481381486
0.002734,-0.778,-0.778011962890625,-2.1814807581494153
0.003125,0.343,0.34298803710937503,-3.0159198835709677
0.003516,-0.205,-0.20501196289062498,-2.7514280939925206
0.003906,-0.163,-0.163011962890625,-3.455565454003788
0.004297,0.392,0.391988037109375,-3.016548859425341
0.0046879999999999995,-0.524,-0.524011962890625,-3.269877919846893
0.005078,0.58,0.579988037109375,-3.1629244798581597
0.005469,-0.545,-0.545011962890625,-3.095971755279712
0.005859,0.464,0.46398803710937503,-3.25109246529098
0.00625,-0.342,-0.342011962890625,-3.0172863557125313
0.006641,-0.033,-0.033011962890625,-3.7366541811340825
0.007031,0.354,0.353988037109375,-3.1227689911453504
0.007422,-0.653,-0.653011962890625,-3.6963798365669027
0.007813,0.799,0.798988037109375,-3.416545206988454
0.008203,-0.817,-0.8170119628906249,-3.451150066999721
0.008594,0.847,0.846988037109375,-3.3937866174212727
0.008984,-0.768,-0.768011962890625,-3.2428353274325388
0.009375,0.694,0.693988037109375,-3.3849287978540907
0.009766,-0.539,-0.539011962890625,-3.087833473275642
0.01016,0.173,0.172988037109375,-3.7953276149280506
0.01055,0.171,0.17098803710937502,-3.1374445749393174
0.01094,-0.655,-0.655011962890625,-4.063484134950584
0.01133,0.7,0.699988037109375,-3.9775731449618514
0.011720000000000001,-0.97,-0.970011962890625,-4.49424140497312
0.01211,0.812,0.8119880371093751,-4.7966592649843856
0.0125,-0.866,-0.866011962890625,-4.900130324995652
0.01289,0.786,0.785988037109375,-5.053338085006919
0.01328,-0.585,-0.585011962890625,-4.669006895018185
0.01367,0.455,0.454988037109375,-4.917862155029452
0.014060000000000001,0.072,0.071988037109375,-3.9099092650407146
0.01445,-0.072,-0.07201196289062499,-3.9100810250519813
0.014839999999999999,0.46,0.459988037109375,-3.168028185063249
0.01523,-0.383,-0.383011962890625,-3.0209027950745146
0.01563,0.552,0.551988037109375,-2.689500959188634
0.01602,-0.446,-0.446011962890625,-2.4869000191999016
0.01641,0.421,0.420988037109375,-2.5348955292111683
0.016800000000000002,-0.181,-0.181011962890625,-2.075959289222433
0.01719,-0.063,-0.063011962890625,-2.542890849233698
0.01758,0.461,0.460988037109375,-1.7817085092449683
0.01797,-0.431,-0.431011962890625,-1.7244917692562347
0.018359999999999998,0.73,0.729988037109375,-1.1526914792675045
0.01875,-0.567,-0.5670119628906249,-0.8410523892787699
0.01914,0.855,0.854988037109375,-0.29029454929003484
0.019530000000000002,-0.777,-0.777011962890625,-0.1412562093013011
0.01992,0.809,0.8089880371093751,-0.080213569312568
0.020309999999999998,-0.546,-0.546011962890625,0.4227205206761629
0.0207,0.203,0.20298803710937502,-0.23359308933510642
0.02109,0.023,0.022988037109374998,0.19856185065362836
0.02148,-0.348,-0.34801196289062497,-0.4233186593576349
0.02188,0.486,0.485988037109375,-0.15273882347175383
0.022269999999999998,-0.51,-0.510011962890625,-0.1988213834830206
0.02266,0.748,0.747988037109375,0.25628895650571437
0.02305,-0.696,-0.696011962890625,0.3555905964944481
0.023440000000000003,0.822,0.821988037109375,0.5964505364831825
0.023829999999999997,-0.418,-0.418011962890625,1.369110576471905
0.02422,0.33,0.329988037109375,1.2005992164606378
0.02461,-0.005,-0.005011962890625001,1.8221362064493734
0.025,-0.131,-0.131011962890625,1.5618032464381053
